Nama;Negara;Status
Stan Lee;Amerika Serikat;Almarhum
Steve Ditko;Amerika Serikat;Almarhum
Hasmi;Indonesia;Almarhum
Hergé;Belgia;Almarhum
Alan Moore;Inggris;Aktif
Brian Bolland;Inggris;Aktif
Faza Meonk;Indonesia;Aktif
Chugong;Korea Selatan;Aktif
DUBU (Redice Studio);Korea Selatan;Almarhum
Fujiko F. Fujio;Jepang;Almarhum
Neil Gaiman;Inggris;Aktif
Is Yuniarto;Indonesia;Aktif
Takeshi Maekawa;Jepang;Pensiun
Nurfadli Mursyid;Indonesia;Aktif
Art Spiegelman;Amerika Serikat;Pensiun
Dave Gibbons;Inggris;Aktif
